tenure_years,engagement_score,workload_index,manager_changes_12m,promotion_last_2y,remote_status,job_level,attrition_12m
4.18,66.4,65.5,0,0,Hybrid,IC2,0
5.67,93.8,65.2,3,0,Remote,Manager,0
3.67,94.9,93.1,0,0,Onsite,IC3,0
3.29,44.7,46.0,0,0,Onsite,Manager,1
6.16,100.0,74.3,1,0,Hybrid,IC2,0
3.51,55.2,78.9,3,0,Hybrid,IC2,1
4.69,81.7,70.7,1,0,Hybrid,Manager,0
4.38,81.6,40.7,0,0,Remote,Manager,0
6.15,54.1,83.3,1,0,Hybrid,Manager,0
2.88,74.9,80.1,1,0,Hybrid,IC3,0
7.59,66.5,68.8,2,1,Hybrid,IC2,0
2.35,75.8,61.7,1,0,Remote,IC1,0
4.91,71.2,62.1,3,0,Onsite,IC2,0
4.52,84.7,56.6,0,0,Remote,Manager,0
2.18,69.1,69.5,2,0,Hybrid,IC2,0
5.19,65.6,58.6,0,1,Remote,IC3,0
3.05,83.3,42.7,1,0,Remote,Manager,0
1.63,76.1,39.1,1,1,Remote,Manager,0
5.64,78.2,44.5,1,1,Hybrid,Manager,0
1.13,58.7,62.0,0,0,Hybrid,IC2,0
1.89,53.4,57.5,1,0,Hybrid,IC2,1
3.64,60.1,61.9,1,0,Hybrid,Manager,1
6.13,59.3,67.0,2,0,Hybrid,IC1,0
5.41,79.0,46.7,0,0,Remote,IC1,0
4.14,81.7,84.4,1,0,Remote,Manager,0
0.81,65.8,53.2,0,0,Hybrid,IC3,0
2.26,88.0,50.2,1,0,Hybrid,IC2,1
2.67,87.2,66.7,1,0,Hybrid,IC1,0
1.56,71.4,24.9,0,0,Remote,IC2,0
0.6,56.5,43.8,0,1,Onsite,Manager,0
3.77,90.1,75.7,0,0,Remote,IC3,0
5.53,67.1,26.7,0,0,Hybrid,IC2,0
2.51,69.8,78.1,2,1,Remote,IC2,0
6.08,63.2,85.2,0,0,Hybrid,Manager,0
1.01,55.5,51.3,0,0,Hybrid,Manager,0
1.48,47.4,63.3,0,0,Hybrid,IC2,0
3.71,76.9,78.1,1,0,Remote,IC3,0
2.35,57.0,49.6,1,1,Hybrid,IC2,0
5.22,100.0,73.6,1,0,Remote,IC2,0
4.66,52.8,45.9,0,0,Hybrid,IC1,0
2.48,50.4,49.4,1,0,Remote,IC2,0
1.1,75.1,43.6,0,0,Remote,IC2,0
2.26,89.4,64.2,1,0,Hybrid,IC2,0
4.74,68.9,78.8,0,0,Remote,IC2,0
5.36,76.0,54.7,0,0,Remote,IC1,0
2.36,42.2,35.1,0,0,Onsite,IC1,0
0.6,58.5,38.5,0,0,Onsite,IC3,0
0.95,53.0,65.1,0,1,Onsite,IC1,0
4.48,41.5,91.2,1,0,Hybrid,IC1,0
2.45,69.6,65.1,2,0,Hybrid,Manager,0
2.5,36.6,51.0,0,0,Onsite,IC2,0
1.46,49.5,71.8,3,1,Remote,Manager,0
1.43,60.5,53.7,0,0,Hybrid,IC3,0
6.01,56.4,51.2,0,1,Remote,IC3,0
4.59,73.5,40.7,1,0,Onsite,IC2,0
2.02,72.3,83.4,1,1,Hybrid,IC1,0
3.52,80.5,12.3,0,1,Hybrid,IC3,0
3.97,78.5,72.4,1,0,Hybrid,IC3,0
9.42,84.0,49.7,1,0,Remote,IC2,0
1.33,68.0,50.6,1,0,Hybrid,IC3,0
3.93,72.2,88.5,2,0,Hybrid,IC2,0
5.99,75.2,45.1,0,0,Hybrid,Manager,0
8.72,70.0,45.8,1,0,Hybrid,IC3,0
1.94,62.4,55.7,0,1,Remote,IC1,0
2.42,63.3,65.4,0,0,Hybrid,IC3,0
5.26,56.6,50.0,0,0,Hybrid,Manager,0
0.8,73.9,29.7,0,0,Remote,IC3,0
4.21,66.7,42.4,1,0,Onsite,IC1,0
11.6,58.7,81.1,1,0,Hybrid,IC3,0
4.52,58.7,59.3,0,0,Hybrid,IC3,0
0.3,51.1,66.1,0,0,Onsite,IC2,0
1.64,81.7,53.3,2,1,Hybrid,Manager,0
1.99,69.1,46.1,0,0,Onsite,IC2,0
6.91,55.9,88.2,0,1,Hybrid,IC3,0
2.94,79.3,54.6,0,0,Hybrid,IC3,0
0.61,60.2,50.0,1,0,Remote,IC2,1
3.2,48.3,77.7,2,0,Remote,Manager,0
3.68,82.3,45.0,1,0,Hybrid,IC2,0
2.2,60.5,47.3,1,1,Remote,IC2,0
1.41,62.3,58.2,1,0,Remote,IC2,0
12.4,68.6,58.0,0,0,Hybrid,IC1,0
6.0,84.0,62.7,1,1,Hybrid,IC3,0
6.36,68.3,95.7,0,0,Remote,IC2,0
2.95,51.2,64.1,1,1,Hybrid,Manager,0
1.91,75.6,15.2,2,0,Onsite,Manager,0
2.29,61.2,63.9,0,1,Hybrid,IC3,0
1.0,94.4,58.7,0,0,Onsite,IC2,0
9.3,68.0,58.8,1,0,Hybrid,IC3,0
3.04,36.7,62.4,1,0,Remote,IC1,0
7.97,73.0,57.5,0,0,Hybrid,IC3,0
2.38,95.2,57.1,1,1,Onsite,IC2,1
